date,season,year,total,oni
1950-01-15T00:00:00,DJF,1950,25.01,-1.32
1950-02-15T00:00:00,JFM,1950,25.36,-1.2
1950-03-15T00:00:00,FMA,1950,25.88,-1.12
1950-04-15T00:00:00,MAM,1950,26.24,-1.08
1950-05-15T00:00:00,AMJ,1950,26.35,-1.1
1950-06-15T00:00:00,MJJ,1950,26.32,-0.9
1950-07-15T00:00:00,JJA,1950,26.24,-0.62
1950-08-15T00:00:00,JAS,1950,25.94,-0.57
1950-09-15T00:00:00,ASO,1950,25.76,-0.56
1950-10-15T00:00:00,SON,1950,25.6,-0.62
1950-11-15T00:00:00,OND,1950,25.55,-0.66
1950-12-15T00:00:00,NDJ,1950,25.41,-0.79
1951-01-15T00:00:00,DJF,1951,25.67,-0.66
1951-02-15T00:00:00,JFM,1951,26.2,-0.36
1951-03-15T00:00:00,FMA,1951,26.96,-0.04
1951-04-15T00:00:00,MAM,1951,27.48,0.16
1951-05-15T00:00:00,AMJ,1951,27.72,0.27
1951-06-15T00:00:00,MJJ,1951,27.72,0.5
1951-07-15T00:00:00,JJA,1951,27.57,0.71
1951-08-15T00:00:00,JAS,1951,27.41,0.9
1951-09-15T00:00:00,ASO,1951,27.34,1.02
1951-10-15T00:00:00,SON,1951,27.25,1.03
1951-11-15T00:00:00,OND,1951,27.18,0.96
1951-12-15T00:00:00,NDJ,1951,26.91,0.71
1952-01-15T00:00:00,DJF,1952,26.86,0.52
1952-02-15T00:00:00,JFM,1952,26.82,0.27
1952-03-15T00:00:00,FMA,1952,27.33,0.33
1952-04-15T00:00:00,MAM,1952,27.5,0.18
1952-05-15T00:00:00,AMJ,1952,27.38,-0.07
1952-06-15T00:00:00,MJJ,1952,26.78,-0.44
1952-07-15T00:00:00,JJA,1952,26.41,-0.45
1952-08-15T00:00:00,JAS,1952,26.31,-0.2
1952-09-15T00:00:00,ASO,1952,26.35,0.03
1952-10-15T00:00:00,SON,1952,26.26,0.04
1952-11-15T00:00:00,OND,1952,26.11,-0.11
1952-12-15T00:00:00,NDJ,1952,26.25,0.06
1953-01-15T00:00:00,DJF,1953,26.58,0.25
1953-02-15T00:00:00,JFM,1953,27.06,0.5
1953-03-15T00:00:00,FMA,1953,27.48,0.48
1953-04-15T00:00:00,MAM,1953,27.88,0.56
1953-05-15T00:00:00,AMJ,1953,28.22,0.77
1953-06-15T00:00:00,MJJ,1953,27.96,0.74
1953-07-15T00:00:00,JJA,1953,27.49,0.63
1953-08-15T00:00:00,JAS,1953,27.19,0.68
1953-09-15T00:00:00,ASO,1953,26.91,0.59
1953-10-15T00:00:00,SON,1953,27,0.78
1953-11-15T00:00:00,OND,1953,26.74,0.52
1953-12-15T00:00:00,NDJ,1953,26.76,0.56
1954-01-15T00:00:00,DJF,1954,26.74,0.41
1954-02-15T00:00:00,JFM,1954,26.91,0.35
1954-03-15T00:00:00,FMA,1954,27.01,0.01
1954-04-15T00:00:00,MAM,1954,27.04,-0.27
1954-05-15T00:00:00,AMJ,1954,26.97,-0.48
1954-06-15T00:00:00,MJJ,1954,26.74,-0.48
1954-07-15T00:00:00,JJA,1954,26.18,-0.67
1954-08-15T00:00:00,JAS,1954,25.68,-0.83
1954-09-15T00:00:00,ASO,1954,25.58,-0.73
1954-10-15T00:00:00,SON,1954,25.7,-0.52
1954-11-15T00:00:00,OND,1954,25.82,-0.4
1954-12-15T00:00:00,NDJ,1954,25.76,-0.44
1955-01-15T00:00:00,DJF,1955,25.83,-0.5
1955-02-15T00:00:00,JFM,1955,26.08,-0.48
1955-03-15T00:00:00,FMA,1955,26.42,-0.58
1955-04-15T00:00:00,MAM,1955,26.56,-0.76
1955-05-15T00:00:00,AMJ,1955,26.67,-0.78
1955-06-15T00:00:00,MJJ,1955,26.34,-0.88
1955-07-15T00:00:00,JJA,1955,26.13,-0.72
1955-08-15T00:00:00,JAS,1955,25.59,-0.92
1955-09-15T00:00:00,ASO,1955,25.21,-1.11
1955-10-15T00:00:00,SON,1955,24.78,-1.44
1955-11-15T00:00:00,OND,1955,24.63,-1.59
1955-12-15T00:00:00,NDJ,1955,24.73,-1.51
1956-01-15T00:00:00,DJF,1956,25.2,-1.17
1956-02-15T00:00:00,JFM,1956,25.82,-0.81
1956-03-15T00:00:00,FMA,1956,26.47,-0.57
1956-04-15T00:00:00,MAM,1956,26.84,-0.51
1956-05-15T00:00:00,AMJ,1956,27,-0.49
1956-06-15T00:00:00,MJJ,1956,26.81,-0.47
1956-07-15T00:00:00,JJA,1956,26.37,-0.55
1956-08-15T00:00:00,JAS,1956,26.02,-0.52
1956-09-15T00:00:00,ASO,1956,25.9,-0.43
1956-10-15T00:00:00,SON,1956,25.85,-0.39
1956-11-15T00:00:00,OND,1956,25.87,-0.37
1956-12-15T00:00:00,NDJ,1956,25.87,-0.39
1957-01-15T00:00:00,DJF,1957,26.11,-0.27
1957-02-15T00:00:00,JFM,1957,26.57,-0.06
1957-03-15T00:00:00,FMA,1957,27.3,0.26
1957-04-15T00:00:00,MAM,1957,27.99,0.63
1957-05-15T00:00:00,AMJ,1957,28.21,0.72
1957-06-15T00:00:00,MJJ,1957,28.09,0.82
1957-07-15T00:00:00,JJA,1957,27.88,0.96
1957-08-15T00:00:00,JAS,1957,27.57,1.03
1957-09-15T00:00:00,ASO,1957,27.45,1.12
1957-10-15T00:00:00,SON,1957,27.38,1.15
1957-11-15T00:00:00,OND,1957,27.63,1.39
1957-12-15T00:00:00,NDJ,1957,27.87,1.62
1958-01-15T00:00:00,DJF,1958,28.07,1.69
1958-02-15T00:00:00,JFM,1958,28.21,1.59
1958-03-15T00:00:00,FMA,1958,28.21,1.17
1958-04-15T00:00:00,MAM,1958,28.2,0.84
1958-05-15T00:00:00,AMJ,1958,28.06,0.57
1958-06-15T00:00:00,MJJ,1958,27.77,0.49
